nombre,tipo,direccion,telefono,redesSociales,horario,menues_especiales,tiendaOnline,extras,imagen
DELEITE CAFE,"Cafe - bar | Comidas rapidas",Calle 57 Nº 2900,(02262) 15241854,"IG: deleite_cafe | FB: deleite_cafe","De lunes a sabados de 07.30 a 21.30 horas. Domingo de 09 a 21 horas.",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,wifi,
DELTURISTA-CHOCOLATE DE PATAGONIA,"Chocolateria y Cafeteria",Calle 62 Nº 2962,(02262) 505778,IG: delturista.necochea,"De lunes a sabado de 07 a 22 horas",vegetariano | infantil | sin tacc,,wifi,
DOLCHE PATAGONIA,"Café | Chocolatería",Calle 83 Nº 211,(02262) 15626338,"IG: tienda-dolchepatagonia | dolche_patagonia","Todos los días de 09 a 21 horas.",vegano | vegetariano | hipertensos | diabeticos | sin tacc,,wifi,
DON ATILIO,"Restaurant (Espectáculos programados)",Calle 81 Nº 263,"(02262) 440509 | 2262464602","FB: Don Atilio | IG: donatilioo","Martes a sábado de 12 a 14 horas y de 20 a 23 horas. Domingo de 12 a 14 horas.",vegano | vegetariano | hipertensos | diabeticos | sin tacc,,wifi,
DOPPIO COFFEE HOUSE,"Café | Bar",Calle 61 N° 2467,(02262) 15662571,IG: doppicocoffee,"De lunes a sabado de 07.30 a 20.30 horas",sin tacc,,wifi,
DUBAI ,"Café | Restaurante (Espectáculos programados)",Av. 58 y ruta 86 (Terminal de Ómnibus) | Lago de los cisnes,2262416617,"FB: Dubai pastas | IG: dubai.puertopizza","TERMINAL: Todos los dias de 06.30 a 00 horas / LAGO DE LOS CISNES: findes y feriados desde 19 horas",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,wifi,
EL CALDERO,"Tapeo y platos elbaorados",Calle 89 N° 356,(02262) 15677643,IG: restocaldero,"Lunes, miércoles a domingo de 20 a 23 horas. Viernes a domingo de 12 a 14 horas. Martes cerrado.",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,wifi,
EL LIBERTADOR,"Parrilla | Pastas",Calle 60 Nº 2936,(02262) 15331765,"FB: El libertador | IG: ellibertador2021","De martes a domingo mediodia y noche / Lunes cerrado",vegano | hipertensos | diabeticos | sin tacc,,wifi,
EL LOCO,"Parrilla al Asador",Av. 10 Nº 3204,"(02262) 422761 | 490920",IG: parrilla_el_loco,"De martes a viernes desde 20.30 horas. Sábado y domingo de 12 a 15 horas y de 20.30 a 00 horas.",vegano | vegetariano | hipertensos | diabeticos | sin tacc,"wifi | mascotas",
EL PALA RESTÓ,"Restobar",Av. 10 N° 3094,(02262) 15542267,IG. el_pala_resto,"Viernes, Sabado y Domingo de 20 a 03 horas",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,,
EL TOPO,"Café",Av. 502 y calle 541 (Quequén) | Calle 83 e/ Av. 2 y calle 4 (Necochea),,IG. eltopo.necochea,"QUEQUEN: Lunes a domingo de 07.30 a 20 horas (miercoles cerrado) // NECOCHEA: Lunes a domingo de 07.30 a 13.30 horas y de 14 a 20 horas ( martes cerrado)",vegano | vegetariano | infantil | sin tacc,,,
EL VEREDÓN,"Café | Bar | Comidas rápidas | Cervecería, picadas y tapas",Calle 4 bis N° 4185,(02262) 15363897,IG. veredonbymanteca,"De martes a domingo de 08.30 a 23 horas.",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,wifi,
ENEBRO,"Restobar | Bar",Calle 83 Nº 316,(02262) 15513939,IG: enebronecochea_resto,"De martes a domingo de 18 a 00.30 horas (happy hours de 18 a 21 horas)",vegano | vegetariano | infantil | sin tacc,,wifi,
ERNNAN´S,"Café | Cervecería (artesanal) | Picadas - Tapas | Restobar | Variado | Pescados - mariscos | Restaurant",Calle 83 Nº 284,,IG: ernnans | FB: ernnans,"Todos los días de 8 a 03 horas",vegano | vegetariano | infantil | hipertensos | sin tacc,,wifi,
FEDRA,"Café | Cervecería - Picadas - Tapas | Comidas rápidas (minutas) | Restobar | Pizzería - Empanadas",Av. 59 Nº 2801,(02262) 430653,"FB: Fedra Resto Bar | IG: fedra_centro","De lunes a sábado, desde 7.30 horas. Domingo, desde 8 horas.",vegetariano | infantil | hipertensos | diabeticos | sin tacc,"wifi | macotas",
FRITA FEST & TACO FEST,"Cómidas rápidas | Comida mexicana",Calle 4 N° 4063,(02262) 15676047,"IG: fritafest | tacofest_necochea","Domingo a jueves de 11 a 01 horas / Viernes y sabado de 11 a 07 horas",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,wifi,
FULANOS PARRILLA,"Parrilla (espectáculos en vivo - Aceptan mascotas)",Calle 6 Nº 3972,(02262) 15629546,IG: fulanosparrillas,"CERRADO POR REFORMAS",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,wifi,
GRIDO ,"Heladeria",Diagonal San Martìn Nº 906,(02262) 15625420,,Viernes y sabado de 10 a 02 horas | jueves a domingo de 10 a 01 horas,vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,,wifi,
GALLO NEGRO ,"Cervecería - Picadas - Tapas | Comidas rápidas",Calle 72 esq. 63,(02262) 15337634,"FB: Gallo Negro | IG: gallonegro.burgers","De martes a domingo desde 19 horas.",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,"wifi | macotas",
GROS CAFETERIA,"Cafeteria - Casa de té",Calle 8 Nº 3996,(02262) 15663512,"IG: gros.cafeteria | FB: Gros Cafeteria","De miércoles a lunes de 08 a 20.30 horas. / martes cerrados",vegano | infantil | sin tacc,,wifi,
HAVANNA,"Café | Bar | Alfajores",Calle 83 y Av 2,(02262) 435020,,Todos los dias de 09 a 21 horas,vegano | vegetariano | infantil | sin tacc,,wifi,
HEREFORD,"Parrilla",Av. 75 y Av. 10,(02262) 521200,IG: asador.parrilla.hereford,"Viernes y sábado desde 20.30 horas. Domingo de mediodia",vegano | infantil | diabeticos | sin tacc,,,
IBUS ALMACÉN CERVECERO. CENTRO,"Cervecería - Picadas | Recargas | Cerveza Artesanal",Calle 66 Nº 3191,(02262) 15620782,IG: ibus_almacencervecero,"Todos los días de 18 a 02 horas.",vegano | vegetariano,,wifi | mascotas,
"IL POPOTTE ""MAESTRO PIZZERO"" (CENTRO)","Pizzería - Empanadas",Av. 59 Nº 2956,(02262) 15654356,IG: il.popotte,,,,wifi,
KAOS ,"Restobar",Calle 77 esq. 6,(02262) 15226704,IG: kaos_bar,"Viernes y sábado de 19 horas a cierre.",vegano | vegetariano | infantil | hipertensos | diabeticos | sin tacc,,,
KABRYL,"Cerveceria | Picada | Tapas | Restobar",Av. 2 Nº 5797 y calle 117,(02262) 15464787,"FB: kabryl necochea | IG: kabrylnecochea","Domingo y feriados mediodia",vegano | vegetariano | infantil | hipertensos | sin tacc,,wifi,
KARAMAWI ,"Restaurante | Pescados -Mariscos",Av. 2 y Pinos del Japón,(02262) 15589811,"FB: parador medano blanco karamawi | IG: plata_karamawi",,vegano | vegetariano | infantil | sin tacc,,wifi,
KEOPS,"Heladería",Av. 59 N° 3092,(02262) 423496,IG: keopsheladosoficial,,,,,,
LA CASCADA,"Pescados y mariscos | Restobar",Calle 6 y Av. 79,(02262) 15655940,"FB: La Cascada | IG: cascadanecochea","Todos los días de 20.30 a 00 horas.",vegano | vegetariano | hipertensos | diabeticos | sin tacc,,wifi,
LAGRIFA,"Confitería",Av. 59 y esq. 64,,IG: lagrifacafe,"De lunes a sábado de 8 a 13 horas y de 16 a 20 horas.",sin tacc,,wifi,
LAGRIFA PLAYA,"Café - Bar | Alfajores",Calle 83 Nº 206,(02262) 466327,IG: lagrifacafe,"Todos los días de 7.30 a 21 horas.",sin tacc,,wifi,
LA HELICE,"Restobar | Pescados | Mariscos | Cafe",Av. 502 Nº 1276,(02262) 15606257,IG: lahelice,"Jueves a sabado de 10 a 00 horas / Domingo de 10 a 20 horas",vegano | vegetariano | infantil | hipertenso | sin tacc,,wifi,
LA INDUSTRIAL,"Café | Comidas rápidas | Patio de comidas y juegos para niños.",Av. 59 Nº 1866,(02262) 15660000,"FB: La Industrial | IG: laindustrialresto","Todos los dias de 07.30 a 00 horas",vegano | vegetariano | infantil | hipertenso | sin tacc,,wifi,
LA MILA PIZZA / DON CORLEONE,"Pizzería - Empanadas",Calle 4 Nº 4196,"(02262) 528004 | 15629546","FB: La Milapizza | IG: la_mila_pizza","Todos los dias de noche / Sabado y domingo de mediodia",infantil,,wifi | mascotas,
LA PALMIRA,"Parilla",Calle 4 Nº 4144,(02262) 236480,IG: la_palmira,"Todo el año de viernes a domingo de noche.",vegano | vegetariano | infantil | hiperenso | diabetico,,wifi,
LA POSTA,"Parrilla | Asador","Av. 10 Nº 4802",(02262) 438093,"FB: La Posta | IG: parrilla.laposta","Viernes de noche. Sábados de mediodia y noche. Domingos de mediodia",infantil | hipertenso | sin tacc,"wifi | mascotas",
LA RUTA PARRILLA,"Parrilla | Asador","RP 86 y Av. 74","(02262) 438961 | 15487446 (solo llamadas).",IG: parrillita_la_ruta,"De martes a viernes de 12 a 14.45 horas y de 20.30 a 23.30 horas. Sábado de 20.30 a 23.30 horas. Domingo de 12 a 15 horas. lunes cerrado",vegetariano | hipertenso | diabetico | sin tacc,,,
LA TABLITA,"Parrilla | Espectáculos y Recitales",Calle 79 Nº 831,(02262) 15613810,"FB: Hotel Deruhá & La Tablita Restó | IG: latablitaresto","Todos los dias de noche.",vegano | vegetariano | infantil | hipertenso | diabetico | sin tacc,,wifi,
